Feature,Feature,Feature,Feature,Feature,Label
Gender,Eye color,Race,Hair,Publisher,Alignment
Male,yellow,Human,No Hair,Marvel Comics,good
Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,good
Male,blue,Ungaran,No Hair,DC Comics,good
Male,green,Human / Radiation,No Hair,Marvel Comics,bad
Male,blue,Cosmic Entity,Black,Marvel Comics,bad
Male,blue,Human,No Hair,Marvel Comics,bad
Male,blue,-,Blond,NBC - Heroes,good
Male,blue,Human,Blond,DC Comics,good
Female,blue,-,Blond,Marvel Comics,good
Male,brown,Human,Brown,Marvel Comics,good
Male,-,-,-,Marvel Comics,good
Male,blue,-,White,Marvel Comics,bad
Male,brown,Cyborg,Black,Marvel Comics,bad
Male,blue,-,Blond,DC Comics,good
Male,-,Human,-,Wildstorm,bad
Male,-,-,-,NBC - Heroes,good
Male,blue,Human,Black,DC Comics,good
Male,-,Xenomorph XX121,No Hair,Dark Horse Comics,bad
Male,-,-,-,Wildstorm,good
Male,red,Android,-,DC Comics,bad
Male,brown,Human,Black,Marvel Comics,bad
Male,-,-,-,NBC - Heroes,good
Male,blue,-,Blond,Marvel Comics,good
Male,-,Vampire,-,Dark Horse Comics,good
Female,yellow,Mutant,Black,Marvel Comics,good
Female,brown,-,Black,Marvel Comics,good
Female,-,-,-,Image Comics,bad
Male,blue,Human,Blond,DC Comics,good
Male,green,-,No Hair,Marvel Comics,bad
Male,blue,Human,Blond,Marvel Comics,good
Male,blue,Human,Blond,Marvel Comics,good
Male,yellow,God / Eternal,No Hair,DC Comics,bad
Male,-,-,-,Image Comics,bad
Male,blue,Symbiote,Blond,Marvel Comics,-
Male,red,Mutant,Black,Marvel Comics,bad
Male,blue,-,Blond,DC Comics,good
Male,blue,Atlantean,Black,DC Comics,good
Male,blue,Atlantean,Blond,DC Comics,good
Female,blue,Human,Blond,Marvel Comics,good
Male,blue,Mutant,Blond,Marvel Comics,good
Female,violet,-,Purple,Marvel Comics,bad
Female,white,Alien,Orange,Marvel Comics,good
Male,brown,-,Brown,Marvel Comics,good
Female,purple,-,Pink,Marvel Comics,good
Female,black,-,Black,Marvel Comics,good
Male,-,Human,-,DC Comics,good
Male,brown,Mutant,Red,Marvel Comics,good
Male,blue,God / Eternal,Brown,DC Comics,bad
Male,blue,-,Red,DC Comics,good
Male,-,-,-,DC Comics,good
Female,black,-,Black,DC Comics,good
Male,brown,Human,Auburn,DC Comics,good
Male,-,-,Red,DC Comics,good
Male,brown,-,Black,DC Comics,good
Female,blue,Mutant,Black,Marvel Comics,good
Male,yellow,Neyaphem,Black,Marvel Comics,bad
Male,brown,Human,Black,DC Comics,good
Male,-,-,-,DC Comics,good
Male,-,Human,-,DC Comics,bad
Male,green,Human,Strawberry Blond,Marvel Comics,good
Male,brown,-,Black,Marvel Comics,good
Female,-,-,-,DC Comics,good
Female,green,Human,Red,DC Comics,good
Female,-,-,-,DC Comics,good
Female,green,Human,Black,DC Comics,good
Female,-,-,-,DC Comics,good
Female,blue,-,Blond,DC Comics,good
Male,blue,Human,black,DC Comics,good
Male,blue,Human,Black,DC Comics,good
Male,blue,Human,Black,DC Comics,good
Male,brown,-,Black,Marvel Comics,good
Female,green,Human,Red,DC Comics,good
Male,black,-,White,Marvel Comics,good
Male,blue,Mutant,Blue,Marvel Comics,good
Male,green,Human,Green,DC Comics,good
Male,-,-,-,Marvel Comics,bad
Male,-,-,-,DC Comics,good
Male,-,-,No Hair,Marvel Comics,good
Male,-,God / Eternal,-,Marvel Comics,good
Female,blue,New God,Black,DC Comics,bad
Male,-,-,-,Icon Comics,good
Male,blue,-,Brown,Marvel Comics,bad
Male,-,Alpha,-,SyFy,good
Male,-,-,-,Image Comics,bad
Female,blue,-,Blond,Marvel Comics,good
-,-,-,-,Marvel Comics,good
Male,-,Human,-,Marvel Comics,bad
Male,-,Human,-,Marvel Comics,bad
Male,-,God / Eternal,-,Hanna-Barbera,good
Male,brown,Mutant,No Hair,Marvel Comics,good
Male,black,Bizarro,Black,DC Comics,neutral
Male,red,-,Black,Marvel Comics,bad
Male,brown,-,Black,DC Comics,bad
Male,blue,Inhuman,Black,Marvel Comics,good
Female,blue,Human,Blond,DC Comics,good
Female,blue,Metahuman,Blond,DC Comics,good
Female,green,Human,Blond,Marvel Comics,good
Male,-,God / Eternal,-,DC Comics,neutral
Male,-,-,-,Marvel Comics,good
Male,brown,Human,Brown,Marvel Comics,good
Male,brown,-,No Hair,DC Comics,good
Female,green,-,Black,Marvel Comics,bad
Male,black,Human,No Hair,DC Comics,bad
Male,brown,Human,Black,Marvel Comics,good
Female,green,Human,Auburn,Marvel Comics,good
Female,blue,-,Blond,Marvel Comics,good
Male,red,Demon,White,Marvel Comics,bad
Male,blue,-,Black,Marvel Comics,bad
Male,brown,Vampire,Black,Marvel Comics,good
-,black,-,No Hair,Marvel Comics,good
Female,-,-,-,Marvel Comics,good
Female,green,Mutant,Magenta,Marvel Comics,good
Male,-,-,-,Marvel Comics,bad
Male,-,-,Brown,Marvel Comics,bad
Male,brown,-,Brown,Marvel Comics,bad
Male,brown,-,Brown,,bad
Female,blue,Human,Brown,Marvel Comics,bad
Male,black,Mutant,No Hair,Marvel Comics,good
Male,white,-,No Hair,Marvel Comics,bad
Male,blue,-,Brown,DC Comics,good
Male,-,-,-,DC Comics,good
Male,blue,-,Brown,DC Comics,good
Male,brown,Human,Black,DC Comics,good
Male,brown,Human / Clone,Black,George Lucas,bad
Male,-,-,-,Marvel Comics,good
Female,-,-,-,Image Comics,bad
Female,blue,Mutant,Blond,Marvel Comics,good
Female,-,-,-,Marvel Comics,good
Male,blue,Human,Blond,DC Comics,good
Male,-,-,-,Marvel Comics,good
-,blue,-,Blond,Marvel Comics,good
-,brown,-,Brown / Black,Marvel Comics,good
Male,green,Android,No Hair,DC Comics,bad
Male,green,-,Blond,DC Comics,good
Male,brown,Human,Brown / White,Marvel Comics,good
Female,green,Human,Blond,Dark Horse Comics,good
Male,blue,Human,blond,Marvel Comics,bad
Female,brown,Human,Black,DC Comics,good
Male,-,-,-,Marvel Comics,good
Male,-,Human,-,DC Comics,good
Male,blue,Mutant,White,Marvel Comics,good
Female,blue,-,Black,Marvel Comics,bad
Male,-,Alpha,-,SyFy,good
Male,blue,-,Blond,Marvel Comics,good
Male,blue,Human,blond,Marvel Comics,good
Male,blue,Human / Radiation,Silver,DC Comics,good
Male,blue,Human,Blond,Marvel Comics,good
Male,brown,Human,Brown,DC Comics,neutral
Male,blue,-,Brown,Team Epic TV,good
Male,-,Human,Black,South Park,good
Male,blue,-,Blond,Marvel Comics,good
Female,blue,Human-Kree,Blond,Marvel Comics,good
Male,blue,Human,Black,DC Comics,good
Male,blue,Human,Black,DC Comics,good
Male,-,Human,-,Dark Horse Comics,good
Male,red,God / Eternal,Green,Marvel Comics,good
-,-,God / Eternal,-,Marvel Comics,good
Male,green,Symbiote,Red,Marvel Comics,bad
Female,blue,-,Blond,Marvel Comics,good
Female,-,-,-,Marvel Comics,good
Female,green,Human,Black,DC Comics,good
-,brown,-,Brown,Marvel Comics,good
Male,white,Alien,White,Marvel Comics,good
Female,-,Mutant,-,Marvel Comics,good
Male,brown,Mutant,Brown,Marvel Comics,good
Male,-,-,-,DC Comics,bad
Male,brown,-,Black,Marvel Comics,bad
Female,green,Human,Blond,DC Comics,bad
Female,green,Human,Brown,DC Comics,bad
Female,brown,Human,Brown,DC Comics,bad
Male,brown,-,Red / Grey,Team Epic TV,bad
Male,green,Human,Red,DC Comics,good
Female,blue,-,Blond,NBC - Heroes,good
-,-,-,White,Marvel Comics,good
Male,brown,-,black,Marvel Comics,good
Male,blue,Human,Black,DC Comics,bad
Male,-,-,-,Image Comics,bad
Male,grey,-,Brown,HarperCollins,good
Male,-,-,-,DC Comics,good
Male,silver,Mutant,Black,Marvel Comics,good
Female,red,Mutant,White,Marvel Comics,neutral
Male,brown,-,Brown,Marvel Comics,good
Male,brown,Human,Black,Marvel Comics,bad
Male,blue,-,Strawberry Blond,Marvel Comics,good
Male,brown,-,No Hair,Marvel Comics,good
Female,green,Inhuman,Red,Marvel Comics,good
Male,-,-,-,Image Comics,bad
Male,-,-,-,Image Comics,bad
Male,brown,Cyborg,Black,DC Comics,good
Male,blue,Cyborg,Black,DC Comics,bad
Male,brown,Mutant,Brown,Marvel Comics,good
-,blue,-,Blond,Marvel Comics,good
Female,blue,-,Blond,Marvel Comics,good
Male,brown,-,Blond,HarperCollins,good
Female,-,-,-,ABC Studios,good
Male,blue,Human,Red,Marvel Comics,good
Male,brown,Human,Brown,Marvel Comics,good
Male,-,-,-,Universal Studios,good
Male,red,New God,No Hair,DC Comics,bad
Female,brown,Mutant,Blond,Marvel Comics,good
Male,yellow / red,Dathomirian Zabrak,-,George Lucas,bad
Male,yellow,Cyborg,No Hair,George Lucas,bad
Male,blue,Human,Blond,Dark Horse Comics,good
Male,yellow,Android,Brown,Star Trek,good
Female,blue,Mutant,Blond,Marvel Comics,good
Male,blue,Human,Black,DC Comics,good
Male,brown,Mutant,No Hair,Marvel Comics,neutral
Male,brown,Human,Brown,DC Comics,bad
Male,brown,Cyborg,Grey,Marvel Comics,good
Male,blue,Human,White,DC Comics,neutral
Male,red,Demon,No Hair,Marvel Comics,bad
Male,-,-,-,Marvel Comics,bad
Male,brown,Human,Black,Marvel Comics,bad
Male,-,-,-,NBC - Heroes,good
Male,blue,Human / Radiation,Green,Marvel Comics,good
